Дата;Рыночные цены на материал 1 (руб.)
2007-01-01;26,45
2007-02-01;23,89
2007-03-01;25,95
2007-04-01;30,03
2007-05-01;28,96
2007-06-01;25,58
2007-07-01;25,96
2007-08-01;30,56
2007-09-01;29,67
2007-10-01;30,46
2007-11-01;28,60
2007-12-01;31,73
2008-01-01;28,00
2008-02-01;33,99
2008-03-01;27,87
2008-04-01;34,49
2008-05-01;32,22
2008-06-01;34,56
2008-07-01;29,87
2008-08-01;31,09
2008-09-01;30,06
2008-10-01;34,21
2008-11-01;31,57
2008-12-01;31,18
2009-01-01;33,85
2009-02-01;38,27
2009-03-01;35,92
2009-04-01;34,01
2009-05-01;36,00
2009-06-01;36,20
2009-07-01;37,50
2009-08-01;39,62
2009-09-01;39,51
2009-10-01;35,49
2009-11-01;39,69
2009-12-01;37,74
2010-01-01;36,08
2010-02-01;39,68
2010-03-01;37,36
2010-04-01;39,21
2010-05-01;39,43
2010-06-01;43,50
2010-07-01;40,75
2010-08-01;42,84
2010-09-01;38,01
2010-10-01;45,18
2010-11-01;42,49
2010-12-01;44,20
