Дата;Рыночные цены на материал 3 (руб.)
2007-01-01;10,07
2007-02-01;10,04
2007-03-01;10,05
2007-04-01;10,05
2007-05-01;10,03
2007-06-01;10,03
2007-07-01;10,06
2007-08-01;10,03
2007-09-01;10,05
2007-10-01;10,04
2007-11-01;10,02
2007-12-01;10,03
2008-01-01;10,01
2008-02-01;10,05
2008-03-01;10,02
2008-04-01;10,05
2008-05-01;10,02
2008-06-01;10,06
2008-07-01;10,07
2008-08-01;10,08
2008-09-01;10,09
2008-10-01;10,06
2008-11-01;10,07
2008-12-01;10,10
2009-01-01;10,10
2009-02-01;10,12
2009-03-01;10,13
2009-04-01;10,10
2009-05-01;10,14
2009-06-01;10,09
2009-07-01;10,12
2009-08-01;10,13
2009-09-01;10,14
2009-10-01;10,16
2009-11-01;10,16
2009-12-01;10,15
2010-01-01;10,15
2010-02-01;10,15
2010-03-01;10,18
2010-04-01;10,18
2010-05-01;10,16
2010-06-01;10,17
2010-07-01;10,14
2010-08-01;10,16
2010-09-01;10,12
2010-10-01;10,14
2010-11-01;10,12
2010-12-01;10,15
